Year,Index
2011-12-17,1395
2011-12-19,1399
2012-01-03,1405
2012-01-08,1407
2012-01-16,1408
2012-01-24,1413
2012-02-10,1416
2012-02-11,1417
2012-03-04,1421
2012-03-05,1422
2012-03-17,1427
2012-03-24,1431
2012-03-25,1432
2012-03-29,1435
2012-04-05,1436
2012-04-08,1437
2012-04-18,1440
2012-04-21,1441
2012-04-23,1443
2012-04-23,1444
2012-04-26,1445
2012-05-02,1447
2012-05-02,1448
2012-05-03,1449
2012-06-10,1452
2012-06-17,1453
2012-06-18,1454
2012-06-21,1455
2012-06-26,1457
2012-07-06,1460
2012-07-17,1463
2012-07-18,1465
2012-07-20,1466
2012-07-23,1467
2012-07-24,1469
2012-07-26,1470
2012-08-02,1471
2012-08-04,1473
2012-08-09,1477
2012-08-12,1478
2012-08-13,1482
2012-08-25,1483
2012-08-25,1484
2012-09-09,1486
2012-09-18,1489
2012-09-19,1490
2012-10-07,1494
2012-10-30,1500
2012-11-04,1501
2012-11-04,1502
2012-11-20,1503
2012-11-20,1504
2012-11-23,1506
2012-11-24,1507
2012-11-24,1508
2012-11-25,1510
2012-11-29,1513
2012-11-30,1514
2012-12-05,1517
2012-12-10,1518
2012-12-28,1522
2012-12-30,1523
2013-01-06,1526
2013-01-15,1527
2013-01-25,1528
2013-01-26,1529
2013-01-28,1531
2013-02-02,1532
2013-02-18,1534
2013-02-18,1535
2013-02-19,1536
2013-02-23,1537
2013-02-24,1538
2013-02-28,1540
2013-03-09,1544
2013-03-11,1546
2013-03-15,1547
2013-03-19,1549
2013-03-22,1552
2013-03-31,1553
2013-04-04,1556
2013-04-16,1560
2013-04-26,1564
2013-04-29,1566
2013-04-30,1567
2013-05-19,1573
2013-05-27,1576
2013-05-28,1577
2013-06-02,1580
2013-06-04,1582
2013-06-08,1583
2013-06-09,1584
2013-06-16,1586
2013-07-03,1589
2013-07-11,1592
2013-07-12,1593
2013-07-16,1594
2013-07-30,1598
2013-08-25,1601
2013-09-05,1603
2013-09-22,1609
2013-09-23,1610
2013-10-03,1611
2013-10-15,1613
2013-10-28,1614
2013-11-03,1616
2013-11-14,1617
2013-11-21,1620
2013-11-24,1621
2013-12-03,1623
2013-12-04,1624
2013-12-10,1626
2013-12-10,1627
2013-12-11,1631
2013-12-11,1632
2013-12-13,1633
2013-12-17,1635
2013-12-28,1639
2013-12-30,1640
2014-01-12,1644
2014-01-14,1645
2014-01-20,1646
2014-02-01,1654
2014-03-02,1660
2014-03-07,1662
2014-03-09,1663
2014-03-15,1665
2014-03-20,1667
2014-03-27,1668
2014-04-01,1671
2014-04-17,1675
2014-04-17,1676
2014-04-17,1677
2014-04-24,1679
2014-04-25,1680
2014-04-29,1682
2014-05-02,1684
2014-05-09,1685
2014-05-11,1686
2014-05-12,1687
2014-05-16,1690
2014-05-16,1691
2014-05-25,1692
2014-05-26,1693
2014-06-01,1697
2014-06-16,1704
2014-06-24,1708
2014-07-04,1710
2014-07-07,1711
2014-07-09,1713
2014-08-06,1717
2014-08-08,1718
2014-08-12,1719
2014-09-02,1724
2014-09-18,1727
2014-09-19,1729
2014-09-21,1731
2014-09-22,1732
2014-09-22,1733
2014-10-06,1735
2014-10-20,1738
2014-10-21,1739
2014-10-21,1740
2014-10-24,1742
2014-10-27,1743
2014-10-29,1745
2014-11-04,1747
2014-11-05,1748
2014-11-13,1752
